Coordinates,County,State,Latitude,Longitude,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,ZIP,Population (2020 census),Area (mi^2),Density (Population/mi^2),"Total Population Change, Annual Change, July 1, 2021 to July 1, 2022","Total Population Change, Cumulative Change, April 1, 2020 to July 1, 2022",Population Change Percent 2021-2022,"Assault crimes per 1,000","Robbery crimes per 1,000","Rape crimes per 1,000","Murder crimes per 1,000","Theft crimes per 1,000","Vehicle_Theft crimes per 1,000","Burglary crimes per 1,000","Arson crimes per 1,000","Kidnapping crimes per 1,000","Drug_Crimes crimes per 1,000","Vandalism crimes per 1,000","Identity_Theft crimes per 1,000","Animal_Cruelty crimes per 1,000","Total_Violent_Crime_Value crimes per 1,000",Total_Violent_Crime_Grade,"Total_Property_Crime_Value crimes per 1,000",Total_Property_Crime_Grade,Total_Other_Rate_Value,Total_Other_Rate_Grade,Median Home Price Q1 2023,Monthly Payment Q1 2023,Monthly Payment Q1 2022,Percent Change in Monthly Payment,Average_S8_Rent,S8 rent - Mortgage Payment,Landlord Friendly,Investment_Score,Investment Rank,S8 rent - Mortgage Payment_log_transformed,"Total_Violent_Crime_Value crimes per 1,000_log_transformed",Population (2020 census)_log_transformed
"31.4470737521, -104.517369966",Culberson County,TX,31.44707375,-104.51737,667,705,885,1161,1302,79855,2188,3813,0.574,-27,-33,-1.234,49.92,14.63,1.014,0.7522,60.96,6.703,36.36,1.862,2.229,8.953,63.31,2.56,0.5265,66.31,F,105.9,F,77.58,F,89995,505,340,48.529,944,439,Landlord Friendly,8.770255464,365,8.712463878,4.217387813,7.805474625
"36.2778878907, -102.60218562",Dallam County,TX,36.27788789,-102.6021856,623,731,826,1164,1272,79022,7115,1505,4.728,53,120,0.745,3.058,1.159,0.4855,0.0383,5.348,0.4868,7.301,0.1542,0.124,8.891,5.32,0.6296,0.1322,4.741,D+,13.29,C+,15.1,C-,137488,772,507,52.268,923.2,151.2,Landlord Friendly,8.937600822,132,8.663956653,1.838484009,8.90666441
"34.9660190366, -102.604926837",Deaf Smith County,TX,34.96601904,-102.6049268,718,722,951,1160,1409,79098,18583,1497,12.413,32,-208,0.172,1.75,0.9084,0.5208,0.1281,7.06,0.3737,5.75,0.1305,0.0794,7.138,3.668,0.6948,0.2247,3.308,C+,13.31,C+,11.8,C+,123726,694,490,41.633,992,298,Landlord Friendly,9.0391354,61,8.688992921,1.579803107,9.844215141
"33.2052512262, -97.1170055183",Denton County,TX,33.20525123,-97.11700552,1259,1326,1565,1972,2572,75034,906422,888,1020.745,33424,70876,3.687,1.092,0.843,0.469,0.0313,13.02,1.278,2.087,0.3825,0.0601,9.299,4.136,1.365,0.0103,2.436,B+,16.77,C-,14.87,C-,492773,2765,1887,46.529,1738.8,-1026.2,Landlord Friendly,8.162398366,1004,8.436633684,1.381784206,13.71755368
"29.0820812942, -97.356778445",DeWitt County,TX,29.08208129,-97.35677845,731,828,969,1200,1446,77995,19824,909,21.809,-177,-50,-0.893,2.742,2.449,0.5279,0.0357,6.915,0.3363,5.163,0.096,0.1391,4.338,3.345,0.607,0.0325,5.755,D,12.51,C+,8.462,B,195236,1096,651,68.356,1034.8,-61.2,Landlord Friendly,8.643755821,494,8.626585568,1.988011325,9.907977458
"33.6166121137, -100.778860652",Dickens County,TX,33.61661211,-100.7788607,623,658,826,1084,1215,79220,1770,904,1.958,-8,-43,-0.452,1.05,0.775,0.5281,0.0649,3.869,0.4359,6.654,0.2033,0.1551,1.776,8.003,0.6568,0.0759,2.418,B+,11.16,B-,10.67,B-,80145,450,284,58.451,881.2,431.2,Landlord Friendly,9.138941728,18,8.71117978,1.377253616,7.618742378
"28.4225359982, -99.756726125",Dimmit County,TX,28.422536,-99.75672613,623,651,826,1174,1215,78830,8615,1331,6.473,-92,-224,-1.068,4.371,1.997,0.5325,0.0878,36.51,7.451,10.13,0.3845,0.26,17.17,3.668,0.7001,0.2735,6.988,D-,54.48,F,22.07,D,77852,437,327,33.639,897.8,460.8,Landlord Friendly,9.107925034,25,8.71604405,2.144058185,9.091669442
"34.965417596, -100.813991608",Donley County,TX,34.9654176,-100.8139916,623,628,826,1151,1215,79226,3258,930,3.503,-25,78,-0.767,2.63,0.7225,0.5161,0.0298,10.31,0.7947,6.733,0.1813,0.0899,9.34,10.6,0.6201,0.2109,3.898,C,18.02,C-,20.86,D,90534,508,375,35.467,888.6,380.6,Landlord Friendly,9.068449304,40,8.702809315,1.694514085,8.167351987
"32.3270730707, -98.8323222504",Eastland County,TX,32.32707307,-98.83232225,552,731,826,1082,1407,76437,17725,926,19.141,110,211,0.621,2.831,2.409,0.5247,0.0346,73.49,0.5088,8.195,0.1473,0.1394,12.21,8.766,0.6935,0.0767,5.8,D,82.35,F,21.89,D,111583,626,441,41.95,919.6,293.6,Landlord Friendly,9.055847335,44,8.688251556,1.994155947,9.797626912
"32.23625867, -98.2179667085",Erath County,TX,32.23625867,-98.21796671,766,771,949,1349,1485,76457,42545,1086,39.176,506,1350,1.189,1.846,0.4036,0.5099,0.0379,5.117,0.3674,4.504,0.1782,0.0531,4.074,7.971,0.6489,0.1057,2.798,B,10.17,B,12.85,C,238277,1337,888,50.563,1064,-273,Landlord Friendly,8.583127418,561,8.587875302,1.468795583,10.66455036
"31.2532716595, -96.9358470922",Falls County,TX,31.25327166,-96.93584709,589,687,826,1174,1407,76629,16968,769,22.065,-50,86,-0.295,1.349,0.8091,0.6483,0.0427,2.715,0.1791,5.951,0.1585,0.2128,5.058,7.445,0.629,0.1334,2.849,B,9.003,B+,13.48,C,108479,609,411,48.175,936.6,327.6,Landlord Friendly,9.04992038,51,8.693966049,1.480467531,9.754639456
"32.7428202205, -100.402168105",Fisher County,TX,32.74282022,-100.4021681,623,628,826,1083,1215,79546,3672,901,4.075,-56,-49,-1.525,1.789,2.123,0.5406,0.0481,33.41,0.4075,7.037,0.1881,0.0806,2.522,8.452,0.6819,0.2551,4.501,D+,41.04,D-,11.99,C+,90534,508,341,48.974,875,367,Landlord Friendly,9.01371358,74,8.700547548,1.799562281,8.278428259
"33.9746150928, -99.7779848782",Foard County,TX,33.97461509,-99.77798488,667,705,885,1161,1302,79227,1095,707,1.549,5,-35,0.457,4.884,2.099,0.5659,0.0308,14.21,0.3338,7.423,0.1459,0.6329,0.549,7.135,0.7021,0.655,7.58,D-,22.11,D+,9.674,B-,71105,399,259,54.054,944,545,Landlord Friendly,9.256436835,7,8.729752931,2.211127483,7.215975003
"29.5274926713, -95.7708885981",Fort Bend County,TX,29.52749267,-95.7708886,1030,1095,1307,1722,2226,77450,822779,875,940.319,29022,66367,3.527,0.651,0.1889,0.4521,0.0316,7.381,0.7093,0.9498,0.1889,0.0446,6.675,2.142,0.6503,0.0047,1.324,A+,9.229,B+,9.517,B-,404442,2270,1492,52.145,1476,-794,Landlord Friendly,8.380282178,778,8.485743803,1.05431203,13.62076616
"31.704894074, -96.1490922947",Freestone County,TX,31.70489407,-96.14909229,623,628,826,1017,1215,75859,19435,885,21.96,166,505,0.854,1.663,0.3082,0.5027,0.0552,6.237,0.1748,3.744,0.264,0.0279,4.73,2.952,0.6158,0.3043,2.529,B+,10.42,B,8.63,B,183767,1031,624,65.224,861.8,-169.2,Landlord Friendly,8.678207918,460,8.607033895,1.404870747,9.888424675
"28.8678175883, -99.1082667829",Frio County,TX,28.86781759,-99.10826678,711,835,943,1177,1606,78017,18385,1133,16.227,267,-577,1.452,10.93,2.273,0.6918,0.4654,25,7.807,34.79,0.7571,0.1432,25.32,153.7,0.7131,0.0878,14.36,F,68.35,F,180,F,135599,761,459,65.795,1054.4,293.4,Landlord Friendly,9.041427362,58,8.688217844,2.766696397,9.833655043
"32.7407276994, -102.635174091",Gaines County,TX,32.7407277,-102.6351741,624,659,828,1008,1218,79323,21598,1502,14.379,300,582,1.389,2.361,0.273,0.5543,0.0373,22.51,0.2564,5.312,0.129,0.0672,6.599,7.786,0.625,0.463,3.225,C+,28.21,D,15.54,C-,184037,1033,754,37.003,867.4,-165.6,Landlord Friendly,8.705731165,431,8.607691814,1.562555927,9.992596728
"29.3799669428, -94.8626717415",Galveston County,TX,29.37996694,-94.86267174,1030,1095,1307,1722,2226,77565,350682,399,878.902,1808,6444,0.516,1.371,0.176,0.4634,0.0316,6.068,0.5061,1.782,0.2839,0.0338,8.17,6.536,0.693,0.0101,2.042,A-,8.64,B+,15.44,C-,343078,1925,1280,50.391,1476,-449,Landlord Friendly,8.467901042,677,8.554527511,1.277594944,12.76839334
"33.179875706, -101.298424102",Garza County,TX,33.17987571,-101.2984241,626,661,830,1064,1293,79356,5816,896,6.491,-7,446,-0.12,2.55,7.971,0.5521,0.0383,6.195,1.851,5.731,0.1921,0.2425,14.53,9.567,0.6226,0.0369,11.11,F,13.97,C,24.99,D-,106456,597,418,42.823,894.8,297.8,Landlord Friendly,8.992543759,83,8.688959234,2.538131411,8.713088868
"30.3180548031, -98.9464800144",Gillespie County,TX,30.3180548,-98.94648001,835,841,1107,1573,1628,76856,26725,1061,25.189,195,755,0.73,3.151,0.5666,0.5264,0.0425,3.944,0.4503,7.649,0.1109,0.2691,32.33,7.803,0.6258,0.3239,4.287,C-,12.15,C+,41.35,F,438100,2459,1662,47.954,1196.8,-1262.2,Landlord Friendly,7.647265848,1303,8.384118837,1.763531448,10.20325876
"31.8694627053, -101.520802191",Glasscock County,TX,31.86946271,-101.5208022,667,705,885,1161,1302,79720,1116,901,1.239,22,49,1.971,3.212,3.767,0.5262,0.0319,7.706,1.142,7.687,0.1832,0.0637,5.012,6.079,0.6349,0.0275,7.537,D-,16.72,C-,11.82,C+,274032,1538,1620,-5.062,944,-594,Landlord Friendly,8.319762637,837,8.526192575,2.206404535,7.231287004
"28.6570952089, -97.4264922607",Goliad County,TX,28.65709521,-97.42649226,876,949,1180,1503,1696,77960,7012,854,8.211,-15,113,-0.214,1.598,0.0623,0.4975,0.034,3.442,0.3002,3.765,0.1251,0.0494,0.2356,7.316,0.6054,0.0266,2.192,A-,7.632,A,8.233,B,195459,1097,658,66.717,1240.8,143.8,Landlord Friendly,8.855767154,233,8.662677858,1.318550709,8.892611378
"29.4567333341, -97.4925237545",Gonzales County,TX,29.45673333,-97.49252375,633,711,839,1192,1429,78614,19653,1068,18.402,177,175,0.901,2.486,0.7262,0.4954,0.0339,4.48,0.2526,4.592,0.1047,0.0285,3.894,4.472,0.6231,0.0713,3.741,C,9.43,B+,9.089,B,157997,887,607,46.129,960.8,73.8,Landlord Friendly,8.880332737,201,8.650499559,1.665250977,9.899429329
"32.4804706054, -94.8169477887",Gregg County,TX,32.48047061,-94.81694779,771,848,1009,1406,1561,75603,124239,274,453.427,1391,1209,1.12,8.347,2.695,1.435,0.0537,299.3,0.2906,4.634,0.2217,0.0751,3.89,20.89,0.921,0.0657,12.53,F,304.4,F,25.84,D-,229185,1286,704,82.67,1119,-167,Landlord Friendly,8.671565985,466,8.607436008,2.644471219,11.73210115
"30.5434714704, -95.9855029797",Grimes County,TX,30.54347147,-95.98550298,665,702,882,1073,1239,77873,29268,794,36.861,648,1462,2.214,1.411,1.429,0.5352,0.0318,6.342,0.1977,3.887,0.0599,0.037,0.6028,3.817,0.607,0.0247,3.407,C+,10.49,B,5.089,A,246238,1382,872,58.486,912.2,-469.8,Landlord Friendly,8.475486507,667,8.550511907,1.599993454,10.29329742
"36.2774544717, -101.354539211",Hansford County,TX,36.27745447,-101.3545392,724,755,960,1168,1412,79040,5285,920,5.745,13,-130,0.246,2.14,0.2925,0.4929,0.04,29.98,0.2463,5.048,0.1623,0.0404,9.228,10.2,0.5952,0.2208,2.965,B-,35.44,D-,20.29,D,138838,779,594,31.145,1003.8,224.8,Landlord Friendly,8.976021534,101,8.676587244,1.506518858,8.621733371
"35.8400259506, -102.602862784",Hartley County,TX,35.84002595,-102.6028628,826,872,1095,1466,1471,79022,5382,1462,3.681,-181,-168,-3.363,3.058,1.159,0.4855,0.0383,5.348,0.4868,7.301,0.1542,0.124,8.891,5.32,0.6296,0.1322,4.741,D+,13.29,C+,15.1,C-,245023,1375,957,43.678,1146,-229,Landlord Friendly,8.348444064,807,8.59604134,1.838484009,8.639056779
"30.0581505603, -98.0310632636",Hays County,TX,30.05815056,-98.03106326,1253,1386,1626,2088,2416,78676,241067,678,355.556,13160,28159,5.459,0.5144,0.9386,0.4603,0.0325,3.294,0.2977,2.693,0.1087,0.0241,8.902,3.668,0.6051,0.01,1.946,A,6.394,A+,13.21,C,464991,2609,1890,38.042,1753.8,-855.2,Landlord Friendly,8.273460342,892,8.473032296,1.250474638,12.393933
"35.8375699223, -100.270473266",Hemphill County,TX,35.83756992,-100.2704733,803,809,1065,1296,1567,79011,3382,910,3.716,-98,-166,-2.898,1.553,1.888,0.5096,0.0588,4.762,0.3713,5.272,0.1888,0.0665,15.43,5.109,0.7209,0.6129,4.009,C-,10.59,B,21.94,D,252579,1417,963,47.144,1108,-309,Landlord Friendly,8.309969402,846,8.58114404,1.714698423,8.201934351
"33.6076426857, -102.343197183",Hockley County,TX,33.60764269,-102.3431972,623,731,826,1174,1407,79363,21537,908,23.719,-95,-382,-0.441,1.679,0.3907,0.4719,0.0434,3.522,0.1323,3.279,0.0996,0.0552,1.287,3.943,0.6174,0.0267,2.585,B+,7.033,A,5.93,A-,133036,747,496,50.605,952.2,205.2,Landlord Friendly,8.932691748,140,8.673239217,1.418519508,9.989802854
"32.4299283238, -97.8322675076",Hood County,TX,32.42992832,-97.83226751,831,992,1210,1473,1780,76433,61598,422,145.967,2110,4776,3.425,1.714,0.1376,0.4772,0.0418,3.645,0.3855,3.416,0.1207,0.0467,1.679,4.193,0.6534,0.0273,2.371,B+,7.567,A,6.6,A-,295890,1661,1115,48.969,1257.2,-403.8,Landlord Friendly,8.581113888,566,8.563198529,1.365326055,11.03269371
"31.4561406891, -105.386456079",Hudspeth County,TX,31.45614069,-105.3864561,631,774,918,1117,1564,79938,3202,4571,0.701,143,226,4.466,15.53,7.412,0.524,0.0751,49.28,8.166,4.428,0.5463,0.3849,22.88,6.148,0.6477,0.0229,23.54,F,62.42,F,30.08,F,71240,400,291,37.457,1000.8,600.8,Landlord Friendly,9.43626817,2,8.738735461,3.222309922,8.151333338
"33.1235953208, -96.0854546373",Hunt County,TX,33.12359532,-96.08545464,1259,1326,1565,1972,2572,75448,99956,841,118.854,4824,8325,4.826,0.9168,0.0001,0.5279,0.0319,9.255,0.8188,4.995,0.1947,0.057,0.1627,2.388,0.6696,0.036,1.477,A+,15.26,C,3.314,A+,265329,1489,1363,9.244,1738.8,249.8,Landlord Friendly,9.192049327,12,8.680841483,1.106249716,11.515143
"31.303925021, -100.982419275",Irion County,TX,31.30392502,-100.9824193,713,851,1066,1395,1801,76901,1513,1052,1.438,-1,17,-0.066,3.247,0.4779,0.5053,0.0365,7.098,0.2878,9.438,0.0093,0.051,2.697,7.233,0.6359,0.0269,4.267,C-,16.83,C-,10.64,B-,144321,810,629,28.776,1165.2,355.2,Landlord Friendly,9.049757912,52,8.698580979,1.760096789,7.483806688
"33.2334606021, -98.1724585828",Jack County,TX,33.2334606,-98.17245858,623,658,826,1174,1407,76230,8472,917,9.239,204,448,2.408,2.157,0.786,0.4969,0.0358,7.264,0.4907,5.335,0.1361,0.0739,15.01,4.438,0.6217,0.0377,3.476,C+,13.23,C+,20.18,D,135869,762,508,50,937.6,175.6,Landlord Friendly,9.055048957,45,8.668161671,1.613828261,9.07543661
"27.0433971368, -98.6973050685",Jim Hogg County,TX,27.04339714,-98.69730507,623,658,826,1174,1215,78361,4838,1136,4.259,-34,-72,-0.703,2.457,1.643,0.5941,0.0502,31.06,7.541,7.804,0.1371,0.4245,3.611,26.4,0.6273,0.1248,4.745,D+,46.55,F,31.19,F,118734,666,411,62.044,899.2,233.2,Landlord Friendly,8.934715797,136,8.678018688,1.839120041,8.537779825
"27.7313380332, -98.0898862446",Jim Wells County,TX,27.73133803,-98.08988624,680,728,902,1142,1536,78372,38891,865,44.961,-97,-67,-0.249,1.054,0.3515,0.4975,0.0341,3.229,0.2265,2.577,0.1207,0.0274,2.135,6.701,0.6061,0.0664,1.937,A,6.153,A+,9.535,B-,105241,591,411,43.796,997.6,406.6,Landlord Friendly,9.125450853,21,8.707119095,1.247893991,10.57533448
"28.9057389627, -97.8594018287",Karnes County,TX,28.90573896,-97.85940183,647,778,879,1234,1340,78144,14710,750,19.613,122,129,0.829,1.756,2.362,0.4934,0.0354,1.64,0.239,5.052,0.1274,0.0166,15.71,6.692,0.6054,0.0534,4.646,D+,7.058,A,23.08,D-,150981,847,585,44.786,975.6,128.6,Landlord Friendly,8.918705362,158,8.660046004,1.823258136,9.614204199
"32.5993157059, -96.287794573",Kaufman County,TX,32.59931571,-96.28779457,1259,1326,1565,1972,2572,75143,145310,786,184.873,14150,27063,9.738,1.661,1.237,0.5093,0.0324,7.668,0.2657,4.922,0.1938,0.04,3.643,4.521,0.6035,0.0308,3.439,C+,13.05,C+,8.839,B,362085,2032,1244,63.344,1738.8,-293.2,Landlord Friendly,8.974641724,104,8.584103897,1.606433403,11.88845357
"30.0614838052, -99.3501597562",Kerr County,TX,30.06148381,-99.35015976,777,848,1031,1367,1579,78025,52598,1106,47.557,605,1147,1.15,2.554,0.5842,0.5019,0.0342,16.65,0.5064,4.046,0.1629,0.7232,7.03,13.33,0.6292,0.0504,3.675,C,21.36,D+,21.77,D,286445,1607,1035,55.266,1120.4,-486.6,Landlord Friendly,8.380828075,777,8.547256721,1.652688954,10.87547786
"30.4867787311, -99.7486955832",Kimble County,TX,30.48677873,-99.74869558,650,718,862,1049,1268,76849,4286,1251,3.426,72,142,1.68,2.576,0.3695,0.5133,0.0528,27.77,0.5219,7.37,0.1849,0.0955,12.09,8.087,0.6325,0.0969,3.512,C+,35.85,D-,21,D,177696,997,810,23.086,909.4,-87.6,Landlord Friendly,8.782063501,346,8.621841453,1.620971148,8.423321976
"33.6164757788, -100.255850072",King County,TX,33.61647578,-100.2558501,667,705,885,1161,1302,79248,265,912,0.291,-23,-29,-8.679,3.684,7.88,0.5432,0.0483,77.52,0.7105,8.825,0.2642,0.886,15.14,11.51,0.716,0.4574,12.15,F,87.32,F,28.71,F,30493,171,122,40.164,944,773,Landlord Friendly,8.940833114,128,8.765957705,2.617103819,6.274762021
"29.3502075785, -100.417946618",Kinney County,TX,29.35020758,-100.4179466,667,705,885,1161,1302,78832,3129,1364,2.294,11,-3,0.352,2.818,1.058,0.5703,0.1658,27.31,0.2586,7.856,0.1954,0.2206,16.27,6.045,0.6336,0.8112,4.612,D+,35.62,D-,23.98,D-,133306,748,438,70.776,944,196,Landlord Friendly,8.953890513,122,8.67166382,1.81775205,8.13005904
"27.4267108244, -97.6683877685",Kleberg County,TX,27.42671082,-97.66838777,756,822,1082,1317,1630,78379,31040,871,35.637,-280,-676,-0.902,2.554,0.4379,0.6171,0.0992,3.819,0.1962,3.439,0.1287,0.2079,8.228,0.9829,0.6564,0.0608,3.708,C,7.583,A,10.14,B-,132226,742,526,41.065,1121.4,379.4,Landlord Friendly,9.040558681,59,8.702609953,1.658989691,10.35156505
"28.3450693013, -99.0996626872",La Salle County,TX,28.3450693,-99.09966269,623,731,826,1174,1215,78014,6664,1489,4.475,-112,-63,-1.681,390.8,0.9809,0.6373,0.3019,36.18,7.585,6.93,0.1657,0.7705,7.141,17.54,0.6561,0.1187,392.7,F,50.86,F,26.23,D-,111987,628,449,39.866,913.8,285.8,Landlord Friendly,6.948603788,1424,8.686935966,5.97697508,8.843615092
"34.0686230903, -102.351710486",Lamb County,TX,34.06862309,-102.3517105,623,628,826,1110,1171,79326,13045,1016,12.84,-162,-319,-1.242,1.607,1.862,0.5394,0.0438,4.366,0.225,6.465,0.1648,0.0475,3.561,5.832,0.6193,0.0443,4.053,C-,11.22,B-,10.1,B-,89320,501,363,38.017,871.6,370.6,Landlord Friendly,9.036845572,63,8.701146749,1.72258801,9.49634604
"31.1961909998, -98.2414446434",Lampasas County,TX,31.196191,-98.24144464,681,685,902,1272,1536,76539,21627,712,30.375,572,1153,2.645,1.085,0.2061,0.4896,0.033,4.05,0.261,2.581,0.1105,0.0268,2.88,2.953,0.6071,0.0187,1.813,A,7.002,A,6.486,A-,244611,1373,955,43.77,1015.2,-357.8,Landlord Friendly,8.593944235,548,8.571946493,1.211643311,9.99392223
"29.3843544458, -96.9301524955",Lavaca County,TX,29.38435445,-96.9301525,700,720,929,1151,1248,77995,20337,970,20.966,99,252,0.487,2.742,2.449,0.5279,0.0357,6.915,0.3363,5.163,0.096,0.1391,4.338,3.345,0.607,0.0325,5.755,D,12.51,C+,8.462,B,238682,1339,913,46.659,949.6,-389.4,Landlord Friendly,8.43468825,714,8.56594526,1.988011325,9.933191975
"36.2777169084, -100.273115438",Lipscomb County,TX,36.27771691,-100.2731154,650,686,862,1059,1268,79046,3059,932,3.282,-53,-204,-1.733,1.799,1.785,0.5156,0.0309,3.474,0.4582,5.948,0.1361,0.0362,15.49,3.525,0.6581,0.7174,4.13,C-,10.02,B,20.43,D,148552,834,570,46.316,905,71,Landlord Friendly,8.735927609,404,8.650009328,1.736246759,8.109224953
"28.3513711091, -98.124785649",Live Oak County,TX,28.35137111,-98.12478565,627,632,832,1182,1224,78071,11335,1036,10.941,45,95,0.397,1.959,1.169,0.5962,0.0372,9.065,2.216,3.849,0.1875,0.0316,4.601,10.5,0.6508,0.1049,3.761,C,15.32,C,15.89,C-,158537,890,567,56.966,899.4,9.4,Landlord Friendly,8.800648554,316,8.639163006,1.669026704,9.35884658
"30.7057400268, -98.6840973495",Llano County,TX,30.70574003,-98.68409735,804,810,1066,1297,1577,78672,21243,935,22.72,527,1297,2.481,2.121,1.669,0.5134,0.0316,9.238,0.589,5.356,0.2727,0.0034,21.43,2.945,0.6057,0.028,4.335,C-,15.46,C,25.01,D-,332724,1867,1259,48.292,1110.8,-756.2,Landlord Friendly,8.203812796,976,8.493515064,1.771726815,9.976226731
"33.6102061227, -101.820545838",Lubbock County,TX,33.61020612,-101.8205458,726,838,1017,1425,1672,79404,310639,900,345.154,2964,6919,0.954,6.374,1.375,0.5445,0.0493,22.22,0.3394,9.268,0.3628,0.1369,4.797,11.6,0.6803,0.0439,8.343,F,32.19,D-,17.26,D+,229567,1288,910,41.538,1135.6,-152.4,Landlord Friendly,8.701864502,435,8.610100487,2.291423028,12.64724268
"33.1768244406, -101.816123837",Lynn County,TX,33.17682444,-101.8161238,591,681,826,1174,1407,79373,5596,892,6.274,72,129,1.287,2.862,0.1073,0.5592,0.0433,9.38,0.263,6.669,0.158,0.0881,2.326,8.906,0.618,0.0386,3.572,C,16.47,C-,11.98,C+,127234,714,480,48.75,935.8,221.8,Landlord Friendly,9.034677077,64,8.676075516,1.632763738,8.676246121
"28.7425901306, -100.314514171",Maverick County,TX,28.74259013,-100.3145142,671,676,844,1071,1134,78852,57887,1280,45.224,2,-42,0.003,1.361,3.274,0.5446,0.0534,22.39,7.469,7.168,0.0995,0.2208,9.842,9.465,1.396,0.0789,5.233,D,37.13,D-,21,D,146798,824,539,52.876,879.2,55.2,Landlord Friendly,8.823416119,276,8.647238515,1.913829598,10.97083275
"31.1988711407, -99.3474783776",McCulloch County,TX,31.19887114,-99.34747838,707,747,938,1142,1380,76825,7630,1069,7.138,-35,-137,-0.459,2.483,0.3752,0.5047,0.0358,48.76,0.6958,7.183,0.1252,0.0505,7.47,4.587,0.687,0.1438,3.399,C+,56.77,F,12.94,C,116575,654,514,27.237,982.8,328.8,Landlord Friendly,9.031369988,66,8.694167142,1.598376965,8.974111581
"31.5523801522, -97.2017864999",McLennan County,TX,31.55238015,-97.2017865,710,787,996,1307,1354,76624,260579,1042,250.076,3122,6254,1.198,0.8497,0.0806,0.9031,0.0316,4.023,0.1419,3.34,0.0191,0.01,2.923,2.43,0.6054,0.0146,1.865,A,7.525,A,5.984,A-,267571,1502,947,58.606,1030.8,-471.2,Landlord Friendly,8.459673544,686,8.550241045,1.227005503,12.47168164
"28.3526879602, -98.5678411195",McMullen County,TX,28.35268796,-98.56784112,667,705,885,1161,1302,78072,600,1113,0.539,-21,-24,-3.5,4.004,2.426,0.5493,0.0851,2.681,4.464,5.125,0.1786,0.1624,25.58,9.743,0.5703,0.139,7.064,D-,12.45,C+,36.19,F,120488,676,594,13.805,944,268,Landlord Friendly,8.796199354,324,8.683927225,2.152924318,6.763884909
"30.7863379319, -96.9768199136",Milam County,TX,30.78633793,-96.97681991,623,631,826,1074,1407,76518,24754,1017,24.34,439,878,1.773,2.014,0.755,0.6581,0.0326,9.255,0.2424,5.259,0.0288,0.0579,4.292,37.69,0.6054,0.1389,3.46,C+,14.79,C,42.78,F,170140,955,598,59.699,912.2,-42.8,Landlord Friendly,8.831509413,266,8.629878813,1.610637193,10.12743078
"33.6756265521, -97.7246531212",Montague County,TX,33.67562655,-97.72465312,765,771,1015,1358,1364,76230,19965,931,21.445,633,1098,3.171,2.157,0.786,0.4969,0.0358,7.264,0.4907,5.335,0.1361,0.0739,15.01,4.438,0.6217,0.0377,3.476,C+,13.23,C+,20.18,D,187275,1051,641,63.963,1054.6,3.6,Landlord Friendly,8.93168606,143,8.638135675,1.613828261,9.91497136
"34.0740947769, -100.779828967",Motley County,TX,34.07409478,-100.779829,623,658,826,1062,1215,79256,1063,989,1.075,-33,-31,-3.104,2.824,0.4723,0.5383,0.0514,2.421,0.372,10.46,0.2073,0.2356,15.24,27.91,0.7459,1.249,3.886,C,13.46,C+,45.38,F,79606,447,320,39.688,876.8,429.8,Landlord Friendly,8.9865462,90,8.710949126,1.69230739,7.192182059
"31.6159802631, -94.6158732578",Nacogdoches County,TX,31.61598026,-94.61587326,682,769,905,1176,1439,75943,64653,947,68.271,163,211,0.252,2.446,0.1077,0.4825,0.0316,3.442,0.1368,3.158,0.0208,0.0385,0.4021,4.338,0.6054,0.0198,3.067,B-,6.757,A,5.404,A,190109,1067,590,80.847,994.2,-72.8,Landlord Friendly,8.723431884,413,8.624503804,1.528878405,11.08089562
"32.0469291804, -96.4724850654",Navarro County,TX,32.04692918,-96.47248507,595,672,885,1252,1507,75155,52624,1071,49.135,1020,2013,1.938,2.362,0.0624,0.5098,0.0319,7.94,0.4137,4.97,0.1012,0.0294,0.0282,6.885,0.6143,0.0478,2.967,B-,13.43,C+,7.605,B+,156243,877,586,49.659,982.2,105.2,Landlord Friendly,8.9728466,106,8.655980746,1.506962121,10.87596956
"32.3034902579, -100.406052463",Nolan County,TX,32.30349026,-100.4060525,637,642,845,1201,1439,79506,14738,912,16.16,-127,-263,-0.862,1.857,1.514,0.5531,0.0326,8.578,0.4156,5.364,0.3033,0.0467,14.14,28.78,0.7786,0.4541,3.957,C,14.66,C,44.2,F,105646,593,429,38.228,952.8,359.8,Landlord Friendly,9.039554786,60,8.699348068,1.705293398,9.616072111
"27.7350347565, -97.516253851",Nueces County,TX,27.73503476,-97.51625385,950,1034,1262,1647,1927,78380,353178,836,422.462,-1556,-1496,-0.441,1.805,0.6126,0.5288,0.0398,10.59,0.2615,5.283,0.0884,0.2227,4.112,8.172,0.6144,0.0467,2.986,B-,16.22,C-,13.17,C,211911,1189,906,31.236,1364,175,Landlord Friendly,8.932824112,139,8.66805848,1.511163343,12.77548034
"36.2784137139, -100.815653969",Ochiltree County,TX,36.27841371,-100.815654,700,739,928,1139,1365,79033,10015,918,10.91,-157,-409,-1.568,4.162,2.357,0.5243,0.0442,2.021,0.2557,5.977,0.0932,0.0675,16.06,7.515,0.6054,0.0801,7.087,D-,8.346,A-,24.33,D-,147338,827,557,48.474,974.2,147.2,Landlord Friendly,8.79154127,329,8.663265616,2.155592069,9.238052811
